3	80493.0	80157.0	-336.0	1
4	80493.0	80157.0	-336.0	2
5	80493.0	80157.0	-336.0	3
6	80493.0	79717.0	-776.0	4
7	80493.0	79717.0	-776.0	5
8	80493.0	79802.0	-691.0	6
9	80493.0	79802.0	-691.0	7
10	80493.0	79802.0	-691.0	8
11	80493.0	79802.0	-691.0	9
12	80493.0	79802.0	-691.0	10
13	80493.0	79802.0	-691.0	11
14	80493.0	79802.0	-691.0	12
15	80493.0	79802.0	-691.0	13
16	80493.0	79802.0	-691.0	14
17	80493.0	79802.0	-691.0	15
18	80493.0	79802.0	-691.0	16
19	80493.0	79802.0	-691.0	17
20	80493.0	79802.0	-691.0	18
21	80493.0	79802.0	-691.0	19
